job,city,company,people,salary,experience,education,skill

AI人工智能,北京·朝阳区·望京,偶得壹处科技,100-499人,25-35K·13薪,3-5年,本科,"深度学习算法, 自然语言处理, 推荐算法, 机器学习算法, Python, 数据挖掘, 数据分析, CNN"

Ai人工智能语音处理,商丘·梁园区·新师院北门商业圈,际月,20-99人,3-7K,经验不限,高中,"人工智能, 大数据, 音频, 语音处理, 数据采集, 数据仓库"

AI人工智能工程师,上海·杨浦区·新江湾城,沛岱汽车,20-99人,25-30K·16薪,经验不限,硕士,"点云, 3D模型"

AI（人工智能）绘画,深圳·南山区·科技园,二木科技,100-499人,15-30K,经验不限,本科,"AI绘画, Stable Diffusion"

ai人工智能工程师,广州·海珠区·琶洲,丽好家,20-99人,15-20K·13薪,1-3年,硕士,"语音/图像识别, TensorFlow/PyTorch, Hadoop/Hive/Spark, CNN/RNN/LSTM"

Python (AI 人工智能),西安·雁塔区·绿地世纪城,陕西医智诺,100-499人,15-22K·14薪,5-10年,本科,"机器学习工程经验, PyTorch, 机器学习/算法工程, Python, TensorFlow"

AI人工智能工程师（对日）,苏州·太仓市·陆渡镇,旭莱,100-499人,40-70K,经验不限,学历不限,"PyTorch, Python, C/C++, 计算机相关专业, 数学/统计相关专业, 知识图谱相关经验"

AI人工智能算法工程师,上海·松江区·石湖荡,上海大风,100-499人,25-50K,3-5年,本科,"算法设计, 深度学习算法, 视觉图像算法, Python, TensorFlow, PyTorch"

BD经理（AI人工智能方向）,大连·金州区·金石滩,神州新桥,1000-9999人,7-10K·13薪,3-5年,本科,"对企业/机构（To B）销售经验, AI, 人工智能, IT硬件"

人工智能高级工程师（AI事业部）,无锡·梁溪区·崇安寺,国辉金控,0-20人,20-30K,1-3年,本科,"语音/图像识别, TensorFlow/PyTorch, 机器学习算法/工程化经验, 计算机相关专业, 深度学习经验"

AI人工智能研发兼总裁助理-应届或工作均可,盐城·亭湖区·东进路,锡鼎,100-499人,12-24K,经验不限,本科,"计算机相关专业, 机器学习算法/工程化经验, 深度学习经验, 人工智能, 研发, 985"

实习生 人工智能,北京,鸣石科技,0-20人,150-200元/天,3天/周,本科,"Python, OpenCV"

人工智能 高级算法工程师,成都·双流区·东升,诺比侃,100-499人,20-25K·13薪,3-5年,硕士,"计算机相关专业, 深度学习经验, 机器学习算法/工程化经验"

人工智能,济南·历城区·唐冶,山东比亚科技,100-499人,10-11K,1-3年,硕士,"C/C++, Java, Python"

人工智能,杭州·余杭区·未来科技城,阿里巴巴集团,10000人以上,30-60K·16薪,3-5年,本科,"C++, 深度学习算法, CNN, TensorFlow, PyTorch, 分布式技术, 211或985院校"

人工智能,昆明·盘龙区·新迎小区,掌灯科技,20-99人,13-16K,经验不限,硕士,"语音/图像识别, C/C++, 计算机相关专业, 机器学习算法/工程化经验, 深度学习经验"

人工智能,北京·朝阳区·亚运村,中博聚力,20-99人,16-30K,1年以内,硕士,"丰富的渠道和客户资源, 对高净值客户销售, 对机构销售, 金融产品营销类职位, 基金公司, 投资并购, 销售团队管理经验, 投资机构（VC/PE）"

人工智能,青岛,科技公司,20-99人,4-5K,经验不限,本科,算法设计

人工智能讲师,武汉·洪山区·光谷,善鹏科技,20-99人,15-20K·13薪,3-5年,本科,"Golang, Scala, R/SAS/MATLAB, 推荐系统相关经验, 数学/统计相关专业, 计算机相关专业"

人工智能,上海·浦东新区·金桥,上海华为技术有限公司,10000人以上,18-35K,经验不限,本科,"搜索/推荐, 语音/图像识别, 翻译, Python, Java, C/C++"

人工智能,达州·达川区·升华广场,达州中服云科技,100-499人,3-6K,1-3年,大专,"图片, 视频, 文字, 音频, 地图"

人工智能,秦皇岛·昌黎县·碣阳大街,上扬科技,0-20人,4-5K,1-3年,大专,"计算机相关专业, 机器学习算法/工程化经验, C++, Python, 图形化编程"

人工智能工程师,上海·长宁区·江苏路,崛帆智能,0-20人,20-40K,1-3年,硕士,"深度学习算法, 自然语言处理, 视觉图像算法, 人脸识别, Java, Python, 人工智能, 地图导航"

人工智能实习生,长沙·芙蓉区·农科院,华智生物,100-499人,4-6K,经验不限,硕士,"语音/图像识别, Python, TensorFlow/PyTorch"

