job,city,company,people,salary,experience,education,skill
AI无人直播（苏州独家）代理商,苏州,微服文化传媒,20-99人,11-22K,经验不限,学历不限,['品牌招商']
初中数学文本解析老师,苏州,自贡一快教育,20-99人,40-45元/时,经验不限,大专,"['兼职', '高薪', '自由']"
AI录音师（兼职）,苏州,道泰信息,20-99人,6-7K,经验不限,学历不限,"['声音剪辑', '声音设计', '现场录音']"
数据标注/AI训练师,苏州,苏州艾星仕信息科技,20-99人,25-30元/时,经验不限,学历不限,"['兼职工作', '数据标注', '图片标注', '语音标注', '视频标注', '区域标注', '描点标注', '分类标注', '接受居家办公']"
AI专员,苏州,茂禾地产,100-499人,5-10K·13薪,1-3年,大专,"['语音/图像识别', 'Python']"
AI应用研发工程师(J10500),苏州,华硕科技（苏州）...,1000-9999人,8-13K·13薪,1年以内,本科,"['业务导向', '语音/图像识别', '机器学习算法/工程化经验']"
AI数据标注工程师,苏州,苏州科达,1000-9999人,4-5K·15薪,经验不限,本科,['图片标注']
AI助教,苏州,WOXIAO.NET,100-499人,6-8K,经验不限,学历不限,"['兼职', '线下教育', '不坐班', '小班教学（3-25人）', '大型教育机构经验', '教育学专业背景', '艺术类专业背景']"
AI专家,苏州,某大型工业自动化公司,100-499人,50-80K·16薪,10年以上,硕士,"['ai算法', '架构设计']"
AI视觉设计师（交互方向）,苏州,追觅科技,1000-9999人,15-30K·15薪,经验不限,本科,"['交互设计', '视觉设计', '动效设计', '三维设计', '界面设计', '图标设计', 'AE', 'C4d']"
AI算法评价,苏州,某知名通信上市公司,1000-9999人,60-90K·15薪,1-3年,博士,"['Python', '图像识别经验', '计算机相关专业']"
人工智能/AI产品经理,苏州,同程旅行,1000-9999人,20-40K·15薪,3-5年,本科,"['C端产品', 'B端产品']"
AI绘画讲师,苏州,新科教育,500-999人,70-80元/时,3-5年,本科,"['兼职', '电商设计类插画', '游戏相关插画', 'C4D', 'AI', 'PS']"
AI外呼平台运营,苏州,西园数科,20-99人,6-9K·13薪,1-3年,本科,"['平台类', 'B端产品', '用户同理心强', '有营销经验', '不接受居家办公']"
AI人工智能工程师（对日）,苏州,旭莱,100-499人,40-70K,经验不限,学历不限,"['PyTorch', 'Python', 'C/C++', '计算机相关专业', '数学/统计相关专业', '知识图谱相关经验']"
AI美术设计师,苏州,苏州零螺游戏,20-99人,4-8K,经验不限,学历不限,['lora']
算法工程师（人工智能）,苏州,固德威,1000-9999人,13-25K·14薪,1-3年,本科,"['人工智能', '边缘算法', '神经网络']"
数据标注/AI训练师,苏州,某互联网公司,20-99人,20-21K,经验不限,大专,['全职工作']
AI数据标注员,苏州,苏州百兰智能科技,20-99人,6-11K,3-5年,本科,"['数据标注', '标注数据分析', '图片标注', '文本标注', '接受加班', '不接受居家办公']"
AI专家,苏州,某大型智能硬件公司,500-999人,85-95K·16薪,经验不限,博士,"['计算机相关专业', '算法', 'NLP', 'CV']"
开发专家（AI/大数据/架构师）,苏州,凌志软件,1000-9999人,20-30K·13薪,10年以上,本科,"['Python', '算法基础']"
AI人工智能工程师（对日）,苏州,旭兴进,100-499人,30-60K,经验不限,学历不限,"['Python', 'C/C++', 'Java']"
AI SDK工具链开发,苏州,亿铸智能,20-99人,40-70K·13薪,1-3年,本科,"['C++', '计算机相关专业', 'Linux开发/部署经验']"
AI视觉感知算法工程师实习生,苏州,柏川数据,20-99人,8-13K,经验不限,本科,['BEV']
AI部署工程师,苏州,西门子中国,10000人以上,20-40K,3-5年,本科,['TensorFlow/PyTorch']
AI数据实习生(J10108),苏州,苏州园区测绘,500-999人,2-3K,经验不限,本科,"['TensorFlow/PyTorch', 'OpenCV', '计算机相关专业']"
AI专家-半导体,苏州,某大型机械设备公司,500-999人,60-75K·15薪,经验不限,硕士,"['半导体', '图像算法', '检测识别']"
AI兼职录音师,苏州,驰必准,20-99人,6-7K,1-3年,本科,['现场录音']
MaXFlow Ai 生命开发工程师,苏州,创腾科技,100-499人,12-18K·13薪,经验不限,硕士,"['AIDD', '图神经网络']"
AI渲染师,苏州,大健云仓科技,500-999人,9-14K,1-3年,大专,"['AI', 'C4D', '3DMAX']"
人工智能训练师,苏州,黑马国际,20-99人,10-15K,3-5年,本科,"['机器学习算法/工程化经验', '数学/统计相关专业']"
人工智能首席专家,苏州,苏州杰锐思,500-999人,70-100K,5-10年,硕士,['C++']
人工智能算法研究员/高级算法工程师,苏州,辅论Ai,20-99人,40-60K,3-5年,博士,"['研究导向', '搜索/推荐', '语音/图像识别', '智能驾驶', 'Python', 'MATLAB', 'TensorFlow/PyTorch', '机器学习算法/工程化经验', '深度学习经验', '有国际期刊/会议论文发表', '计算机视觉', '自然语言处理', '多模态大模型']"
AI生物算法科学家,苏州,某大型医疗健康公司,100-499人,50-70K,3-5年,博士,"['生物工程', '蛋白、DNA或mRNA']"
AIGC算法工程师,苏州,金数信息,20-99人,15-30K,1-3年,本科,"['业务导向', '语音/图像识别', 'Python', '大模型', 'CLIP', 'Diffusion Model']"
人工智能工程师,苏州,冠伽安全,20-99人,5000-10000元/月,经验不限,本科,"['搜索/推荐', 'Java', 'Hadoop/Hive/Spark', 'CNN/RNN/LSTM', '机器学习算法/工程化经验', '深度学习经验']"
AI智能推送精准客户+新人无责6k+高提成,苏州,苏州卓正数字科技,100-499人,6-11K,1年以内,学历不限,"['超长年假', '高薪岗位', '每周下午茶']"
人工智能/高性能计算处理器驱动开发工程师,苏州,登临科技,100-499人,40-70K,3-5年,硕士,"['C++', 'OpenCL', 'Cuda', 'TensorFlow']"
AI 工程师,苏州,祥峰投资,20-99人,25-40K·14薪,1-3年,硕士,['C/C++']
ai算法工程师-出差-多地在招,苏州,某500强上市公司,10000人以上,15-25K,经验不限,本科,"['机器学习算法/工程化经验', '深度学习经验']"
人工智能工程师（AI Engineer）,苏州,北京跃盟科技有限公司,100-499人,30-40K,5-10年,本科,"['数据架构', '数据挖掘', '数据算法']"
场景原画AI师,苏州,苏州柒色,20-99人,6-10K,经验不限,学历不限,"['原画', '绘制设定图', '仙侠风', '写实', '半写实']"
中级研究员云计算、大数据、人工智能等方向,苏州,千机智能,100-499人,20-30K,经验不限,硕士,['云计算']
AI产品经理,苏州,思必驰科技股份有...,500-999人,15-25K,3-5年,本科,"['语义类AI', '智能汽车']"
AI健康,苏州,德鸿健康管理,0-20人,8-10K,1-3年,本科,"['健康管理师', '公共营养师', '注册营养师', '运动营养', '慢病调理', '食品营养', '健康教育传播']"
引擎开发工程师(C++ AI系统),苏州,蜗牛数字,500-999人,11-20K,1-3年,本科,"['算法', 'C++', '游戏AI', '计算机相关专业', '数据结构']"
算法工程师（AI方向）,苏州,苏州振畅,20-99人,15-28K·13薪,3-5年,本科,"['C/C++', 'OpenCV', 'Python', 'YOLO']"
图案花型设计师AI插画师图案开发,苏州,苏州聚尚仁合贸易,100-499人,5-7K,1-3年,本科,"['电商设计类插画', '视觉设计', '不接受居家办公', 'PS', 'AI', '平面设计', '擅长手绘', '不支持远程办公', '全职', 'PhotoShop', '企业/自有品牌']"
AI 技术经理,苏州,某大型移动互联网公司,100-499人,70-100K·15薪,5-10年,本科,"['Python', '嵌入式技术', 'AI常用算法']"
算法工程师（人工智能）,苏州,某电子公司,20-99人,15-30K·15薪,经验不限,本科,"['C/C++', 'Python', 'MATLAB']"
Ai画师,苏州,云开木业,20-99人,4-8K,经验不限,大专,"['影视公司', '设计服务商', '游戏角色原画', '插画设计', '游戏美宣', '游戏公司']"
AI交付工程师,苏州,华为云计算,10000人以上,20-21K,1-3年,本科,"['云计算', 'Python', 'OpenCV', 'TensorFlow/PyTorch', '数学/统计相关专业', '机器学习算法/工程化经验', '深度学习经验']"
SCI论文编辑（人工智能）,苏州,奈普格生物,0-20人,5000-10000元/月,1-3年,硕士,"['语音/图像识别', '智能驾驶', '云计算', 'SCI发表经验', 'SCI期刊', '人工智能']"
AI 实时数据＋轻松不加班月薪过万！,苏州,微众优企,500-999人,8-13K,经验不限,学历不限,"['企业（To B）', '客户邀约', '沟通能力强', '互联网金融']"
新公司急招不加班金融顾问+AI推送精准资源,苏州,苏州微企信科信用...,20-99人,6-10K,经验不限,学历不限,['无经验要求']
AI产品经理 (MJ000766),苏州,小冰,500-999人,20-30K·14薪,3-5年,本科,"['B端产品', '电商', '直播', 'AI', 'SaaS']"
AI 产品经理,苏州,Dify.AI,20-99人,15-25K·14薪,3-5年,本科,"['B端产品', '语义类AI']"
AI产品经理培训讲师,苏州,苏州光之年智能科技,0-20人,18-35K,3-5年,本科,"['AI产品经理', 'AI产品经理培训讲师']"
人工智能,苏州,某大型航空公司,100-499人,25-35K,1-3年,硕士,"['Python', 'C/C++', '机器学习算法/工程化经验', '深度学习经验']"
AI（图像算法）,苏州,某知名机械设备公司,1000-9999人,25-40K·14薪,经验不限,硕士,"['AI', 'Tensorflow', '机器学习/深度学习']"
科技咨询顾问-计算机与人工智能,苏州,锐艾科,20-99人,8-12K·13薪,经验不限,硕士,"['交付团队', '国内咨询机构', '政府及公共服务', '留学经历', '英语可作为工作语言', '数据分析能力']"
AI算法高级研究员,苏州,富鑫林光电,20-99人,45-55K·15薪,经验不限,博士,"['研究导向', '语音/图像识别', 'C/C++', 'TensorFlow/PyTorch', '机器学习算法/工程化经验', '深度学习经验', '深度神经网络', '模式识别']"
ai工程师,苏州,国云数据,20-99人,12-24K,经验不限,学历不限,"['Python', '机器学习建模经验']"
AI产品经理,苏州,清研车联,100-499人,10-15K·13薪,1-3年,本科,"['产品运营', '人工智能产品', '人工智能', '教育培训']"
人工智能青少年技术支持,苏州,苏州鲁本机器人,20-99人,7-10K,5-10年,本科,"['线下教育', '线上教育', '中学生', '学前儿童/小学生', '特长兴趣', '职业与技能培训', '人工智能', 'IT培训', '有教育工作经验', '课程研发经验']"
AI算法工程师实习生,苏州,兰笺科技,20-99人,8-10K,经验不限,本科,['研究导向']
ai项目经理,苏州,音明信息技术,100-499人,14-18K,3-5年,本科,"['机器学习算法/工程化经验', 'AI', '项目经理']"
AI产品经理,苏州,畅量科技,0-20人,20-30K·14薪,1-3年,本科,"['C端产品', 'B端产品', '语音类AI']"
人工智能专家（可选base地点）,苏州,某大型计算机软件公司,100-499人,40-65K·15薪,5-10年,硕士,"['TensorFlow/PyTorch', '有国际期刊/会议论文发表', '深度学习经验', '机器学习算法/工程化经验']"
苏州AI算法（python）等语言,苏州,某大型互联网公司,10000人以上,20-40K·16薪,经验不限,本科,"['无明显侧重', '搜索/推荐', '云计算', 'Java', 'Python', 'C/C++', '计算机相关专业', '数学/统计相关专业']"
AI高级数据标注,苏州,核数聚,20-99人,5-6K,1年以内,本科,"['全职工作', '数据标注', '标注结果整理', '图片标注', '分类标注']"
ai测试工程师,苏州,苏州英格玛人工智...,0-20人,12-18K,1-3年,本科,"['性能测试', '自动化测试', '计算机相关专业', '自动化测试经验', '测试工作经验', 'Python']"
东吴证券AI赋能项目Python工程师,苏州,悠欧,20-99人,15-24K,3-5年,本科,"['Python', 'Flask', 'Django']"
ai算法工程师,苏州,某知名家具公司,1000-9999人,30-60K·15薪,3-5年,本科,['AI算法']
博士（项目申报）领军人才,苏州,科创帮,20-99人,85-90K,1-3年,博士,"['人工智能', '创业型', '有自主创业经验']"
机器人研发总监,苏州,某知名互联网公司,1000-9999人,150-200K·20薪,经验不限,硕士,"['机器人', '软件', '算法']"
AI工程师,苏州,电享,20-99人,18-25K,3-5年,本科,"['Kubeflow', 'AI']"
数据标注/AI训练师,苏州,广达科技,0-20人,5-9K,1-3年,本科,"['全职工作', '标注结果整理', '图片标注']"
智能体汉语教学,苏州,易感素,20-99人,5-10K,经验不限,本科,"['自然语言处理项目经验', '语言分析']"
AGI大模型算法（p8-p10）,苏州,某知名计算机软件公司,1000-9999人,80-110K·15薪,经验不限,硕士,"['PyTorch', 'TensorFlow', '自然语言处理项目经验', '人机对话相关经验', '知识图谱相关经验', '大模型', 'NLP']"
机器视觉ai算法专家（苏州） hc1,苏州,某大型智能硬件公司,500-999人,80-90K·16薪,经验不限,博士,"['Python', 'C/C++', 'OpenCV', '计算机相关专业', '机器学习算法/工程化经验', '深度学习经验', '工业精密缺陷检测']"
贷款+银行+人工智能+销售,苏州,苏州农益晨科技服...,20-99人,11-15K,经验不限,大专,"['客户关系维护', '客户开发', '客户签约', '房地产', '互联网金融', '个人（To C）', '企业/机构（To B）', '电话销售经验', '网络营销经验', '沟通能力', '抵押专员', '人工智能', '银行贷款', '信贷管理', '销售经理']"
